p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.7635222124470284,0.886,0.3,0,bigblob,Cx3cr1
0,5.223901192862579,0.824,0.267,0,bigblob,Plxdc2
0,5.899394454587923,0.712,0.184,0,bigblob,Nav2
0,3.560766773678125,0.765,0.238,0,bigblob,Tanc2
0,2.9115336123841793,0.852,0.342,0,bigblob,Mef2c
0,5.709164517972989,0.771,0.267,0,bigblob,Tgfbr1
0,4.533162938790193,0.707,0.203,0,bigblob,Arhgap24
0,11.286999415606447,0.697,0.196,0,bigblob,Gm2629
0,4.952088424334925,0.712,0.231,0,bigblob,Maml3
0,2.0691104754561476,0.781,0.302,0,bigblob,Lrmda
0,7.471841985979529,0.703,0.239,0,bigblob,Mertk
0,3.2240017294619356,0.694,0.23,0,bigblob,E230029C05Rik
0,4.940772212839244,0.705,0.245,0,bigblob,Plek
0,4.22388852364326,0.678,0.225,0,bigblob,Atp8a2
0,2.185430500131785,0.815,0.363,0,bigblob,Inpp5d
0,3.5863245300641395,0.82,0.369,0,bigblob,Hpgds
0,3.2749401891774346,0.735,0.289,0,bigblob,Zfhx3
0,7.612728649091505,0.62,0.176,0,bigblob,Whrn
0,3.5413980458278758,0.698,0.257,0,bigblob,Cd83
0,8.456298029042198,0.582,0.141,0,bigblob,Csmd3
0,5.417521612263075,0.743,0.309,0,bigblob,Mylip
0,1.07901506166177,0.804,0.373,0,bigblob,Cd9
0,4.156295979033107,0.649,0.223,0,bigblob,Nav3
0,6.103968650278949,0.76,0.335,0,bigblob,Gpr34
0,5.927830389923496,0.847,0.426,0,bigblob,Basp1
0,1.143463599364678,0.901,0.483,0,bigblob,Lgmn
0,9.807695862657678,0.72,0.304,0,bigblob,P2ry12
0,4.380677378750841,0.779,0.365,0,bigblob,Pde3b
0,2.0189227072611677,0.874,0.461,0,bigblob,Csf1r
0,4.114235057869235,0.589,0.179,0,bigblob,Cacna1a
0,1.0538515013560872,0.638,0.234,0,bigblob,Atf3
0,3.186612575786608,0.661,0.257,0,bigblob,Srgap2
0,2.1674081035388353,0.693,0.29,0,bigblob,Kctd12
0,3.2201625894135564,0.648,0.246,0,bigblob,Abcd2
0,5.984598310554878,0.586,0.184,0,bigblob,Sall3
0,2.0072210885948616,0.656,0.258,0,bigblob,Ophn1
0,7.951045076712951,0.739,0.341,0,bigblob,Pag1
0,1.6796196896500213,0.579,0.182,0,bigblob,Fgf13
0,6.311428566516829,0.537,0.141,0,bigblob,Csf1
0,1.001198827821074,0.766,0.374,0,bigblob,Itgam
0,1.9108210408682993,0.777,0.39,0,bigblob,Ctsl
0,1.931373632556106,0.736,0.351,0,bigblob,Olfml3
0,4.741542715737709,0.72,0.336,0,bigblob,Siglech
0,9.68117017851388,0.539,0.158,0,bigblob,Kcnma1
0,5.387330888756847,0.587,0.206,0,bigblob,Gm26542
0,2.923833411944189,0.684,0.309,0,bigblob,Ncf1
0,3.572321579031011,0.626,0.253,0,bigblob,Arhgap22
0,8.182475902302311,0.576,0.207,0,bigblob,Gm10790
0,0.8746063822668475,0.503,0.135,0,bigblob,Sdk1
0,3.47731272689934,0.802,0.437,0,bigblob,Apbb1ip
0,6.89822279402527,0.662,0.299,0,bigblob,4933406I18Rik
0,0.5457172976688511,0.572,0.218,0,bigblob,Myo1e
0,1.2705782779241641,0.723,0.374,0,bigblob,Lpcat2
0,5.112409599500144,0.541,0.195,0,bigblob,Sgk1
0,11.073573627538316,0.705,0.362,0,bigblob,Entpd1
0,9.229249603356806,0.594,0.252,0,bigblob,Tbc1d9
0,7.442983234985405,0.577,0.238,0,bigblob,Pdgfb
0,4.585281203139742,0.57,0.234,0,bigblob,P3h2
0,4.622338978043526,0.474,0.139,0,bigblob,Etl4
0,2.3012830645178024,0.45,0.117,0,bigblob,Fat3
0,2.2126763657311646,0.723,0.39,0,bigblob,Mafb
0,1.2315756749380444,0.531,0.2,0,bigblob,Plxna4
0,4.39120327396741,0.591,0.262,0,bigblob,Pfkfb3
0,1.980846686256589,0.682,0.358,0,bigblob,Ier5
0,7.942195794154652,0.549,0.227,0,bigblob,Cables1
0,1.822868747870594,0.724,0.409,0,bigblob,Serpine2
0,5.916472735388332,0.55,0.239,0,bigblob,Itga6
0,1.371197484007567,0.564,0.253,0,bigblob,Ccl3
0,1.07679358744657,0.566,0.258,0,bigblob,Ccl4
0,1.3483577950536656,0.821,0.513,0,bigblob,Marcks
0,1.1188642111170104,0.538,0.233,0,bigblob,Cd14
0,5.059735186403266,0.581,0.279,0,bigblob,Mapkapk2
0,2.755707028758838,0.682,0.381,0,bigblob,Bcl2a1b
0,3.1470199717675573,0.644,0.343,0,bigblob,Btg2
0,5.678040839255357,0.467,0.175,0,bigblob,Klf12
0,2.9788601434010378,0.011,0.302,0,bigblob,Ccn3
0,1.5230602881796962,0.419,0.138,0,bigblob,Il1a
0,1.4306996142404955,0.382,0.105,0,bigblob,Adamts1
0,2.0846717481681187,0.485,0.243,0,bigblob,Frmd4a
0,8.334458177199398,0.355,0.139,0,bigblob,Ptprm
0,2.081992785083422,0.007,0.163,0,bigblob,Hdc
0,0.8344913798966682,0.002,0.146,0,bigblob,Dnah6
0,17.071557157729572,0.004,0.107,0,bigblob,Cntnap5a
0,3.8602260829601285,0.007,0.079,0,bigblob,Gm10714
0,8.248507941156975,0.009,0.024,0,bigblob,Timp4
0,2.243492418901404,0.005,0.013,0,bigblob,Meis2
0,0.36735005404063115,0.002,0.01,0,bigblob,Sorbs2
0,1.4442695303224644,0.01,0.006,0,bigblob,Cpne4
6.4019044235616e-303,0.4136362174237256,0.542,0.216,1.28038088471232e-299,bigblob,Nfkbia
2.5202348396961807e-300,4.392832600883835,0.225,0.085,5.040469679392361e-297,bigblob,Slc1a3
1.111521405862161e-297,8.378572833176538,0.463,0.179,2.223042811724322e-294,bigblob,Ank
4.6296526926325073e-293,0.19306520973383812,0.506,0.231,9.259305385265014e-290,bigblob,Fosb
1.8939107375464295e-287,1.2418296818953483,0.014,0.02,3.787821475092859e-284,bigblob,Nrxn3
3.863760837317948e-287,3.2721783742131016,0.535,0.234,7.727521674635896e-284,bigblob,Ptchd1
8.633390642857384e-285,1.4134457673517091,0.699,0.426,1.726678128571477e-281,bigblob,Sparc
2.9442354576098594e-283,7.776414324584773,0.006,0.016,5.888470915219719e-280,bigblob,Fam183b
1.3477291982905998e-282,16.228420086126402,0.004,0.016,2.6954583965811997e-279,bigblob,Olfm3
4.010786996144116e-277,2.596932434618884,0.578,0.281,8.021573992288232e-274,bigblob,Nfkbiz
1.318189900882061e-274,3.373689683474188,0.03,0.034,2.636379801764122e-271,bigblob,Scg2
6.529237625545289e-274,3.3364003830402083,0.002,0.072,1.3058475251090578e-270,bigblob,Sdk2
2.169915626964941e-272,1.8022995031995177,0.616,0.359,4.339831253929882e-269,bigblob,Hif1a
